TIMESTAMP,MARK,MODEL,CAR_YEAR,ENGINE_POWER,AUTOMATIC,VEHICLE_ID,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,AIR_INTAKE_TEMP,SPEED,SHORT TERM FUEL TRIM BANK 1,THROTTLE_POS,TIMING_ADVANCE,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR,FAULT_COUNT,HAS_FAULT,IS_IDLE,IS_MOVING,DRIVING_STYLE,RPM_PER_SPEED,THROTTLE_LOAD_RATIO,TRIP_HOUR,IS_PEAK_HOUR
55:04.3,chevrolet,agile,2011,1.4,n,car1,80,33.3,1009,49,59,0,-100,25,56.9,55,16,2,8,2017,0,0,1,0,IDLE,1009,0.73,16,0
55:12.3,chevrolet,agile,2011,1.4,n,car1,80,32.5,1003,52,59,0,-100,25,56.5,55,16,2,8,2017,0,0,1,0,IDLE,1003,0.75,16,0
55:20.3,chevrolet,agile,2011,1.4,n,car1,80,32.9,995,51,59,0,-100,25,57.3,55,16,2,8,2017,0,0,1,0,IDLE,995,0.74,16,0
55:28.3,chevrolet,agile,2011,1.4,n,car1,80,32.5,1004,51,60,0,-100,25,56.5,55,16,2,8,2017,0,0,1,0,IDLE,1004,0.75,16,0
55:36.3,chevrolet,agile,2011,1.4,n,car1,80,32.9,1005,49,60,0,-100,25,56.9,55,16,2,8,2017,0,0,1,0,IDLE,1005,0.74,16,0
55:44.3,chevrolet,agile,2011,1.4,n,car1,81,32.9,1019,50,60,0,-100,25,56.5,55,16,2,8,2017,0,0,1,0,IDLE,1019,0.74,16,0
55:52.4,chevrolet,agile,2011,1.4,n,car1,81,33.3,1002,49,61,0,-100,25,56.5,55,16,2,8,2017,0,0,1,0,IDLE,1002,0.73,16,0
56:00.4,chevrolet,agile,2011,1.4,n,car1,81,33.3,1001,50,61,0,-100,25,57.3,56,16,2,8,2017,0,0,1,0,IDLE,1001,0.73,16,0
56:08.4,chevrolet,agile,2011,1.4,n,car1,81,33.3,1004,52,61,0,-100,25,56.9,56,16,2,8,2017,0,0,1,0,IDLE,1004,0.73,16,0
56:16.4,chevrolet,agile,2011,1.4,n,car1,81,32.9,1010,52,62,0,-100,25,58.4,56,16,2,8,2017,0,0,1,0,IDLE,1010,0.74,16,0
56:24.4,chevrolet,agile,2011,1.4,n,car1,81,34.5,1008,49,62,0,-100,26,56.9,56,16,2,8,2017,0,0,1,0,IDLE,1008,0.73,16,0
56:32.4,chevrolet,agile,2011,1.4,n,car1,81,34.5,1005,50,62,0,-100,26,56.5,56,16,2,8,2017,0,0,1,0,IDLE,1005,0.73,16,0
56:40.5,chevrolet,agile,2011,1.4,n,car1,81,34.1,1004,51,63,0,-100,26,55.7,56,16,2,8,2017,0,0,1,0,IDLE,1004,0.74,16,0
56:48.5,chevrolet,agile,2011,1.4,n,car1,81,34.9,998,53,63,0,-100,26,56.1,56,16,2,8,2017,0,0,1,0,IDLE,998,0.72,16,0
56:56.5,chevrolet,agile,2011,1.4,n,car1,81,34.9,999,92,63,0,-100,26,55.7,56,16,2,8,2017,0,0,1,0,IDLE,999,0.72,16,0
57:04.5,chevrolet,agile,2011,1.4,n,car1,81,37.3,1589,47,64,0,-100,22,60,57,16,2,8,2017,0,0,1,0,IDLE,1589,0.57,16,0
57:12.6,chevrolet,agile,2011,1.4,n,car1,81,26.7,2955,33,65,0,-100,32,77.6,57,16,2,8,2017,0,0,1,0,IDLE,2955,1.16,16,0
57:20.6,chevrolet,agile,2011,1.4,n,car1,82,36.9,1050,50,65,0,-100,26,53.7,57,16,2,8,2017,0,0,1,0,IDLE,1050,0.69,16,0
59:07.7,chevrolet,agile,2011,1.4,n,car1,77,29.4,1005,46,42,0,-100,24,56.9,59,19,2,8,2017,0,0,1,0,IDLE,1005,0.79,19,1
59:15.8,chevrolet,agile,2011,1.4,n,car1,79,36.5,1004,51,43,8,-100,27,54.9,59,19,2,8,2017,0,0,0,1,ECO,111.56,0.72,19,1
59:23.8,chevrolet,agile,2011,1.4,n,car1,79,31,1069,58,43,4,-100,25,59.6,59,19,2,8,2017,0,0,0,0,IDLE,213.8,0.78,19,1
59:31.8,chevrolet,agile,2011,1.4,n,car1,79,32.2,1034,47,44,0,-100,25,53.3,59,19,2,8,2017,0,0,1,0,IDLE,1034,0.75,19,1
59:39.8,chevrolet,agile,2011,1.4,n,car1,79,30.2,1013,47,44,0,-100,24,58.4,59,19,2,8,2017,0,0,1,0,IDLE,1013,0.77,19,1
59:47.8,chevrolet,agile,2011,1.4,n,car1,79,29,1010,47,45,0,-100,24,56.5,59,19,2,8,2017,0,0,1,0,IDLE,1010,0.8,19,1
59:55.8,chevrolet,agile,2011,1.4,n,car1,79,29,1004,46,45,0,-100,24,56.1,59,19,2,8,2017,0,0,1,0,IDLE,1004,0.8,19,1
00:03.8,chevrolet,agile,2011,1.4,n,car1,79,29,1005,47,46,0,-100,24,58.4,0,20,2,8,2017,0,0,1,0,IDLE,1005,0.8,20,0
00:11.8,chevrolet,agile,2011,1.4,n,car1,79,29,1015,45,47,0,-100,24,58.8,0,20,2,8,2017,0,0,1,0,IDLE,1015,0.8,20,0
00:19.8,chevrolet,agile,2011,1.4,n,car1,79,29,1013,47,47,0,-100,24,57.3,0,20,2,8,2017,0,0,1,0,IDLE,1013,0.8,20,0
00:27.8,chevrolet,agile,2011,1.4,n,car1,79,29.4,1000,46,48,0,-100,24,58,0,20,2,8,2017,0,0,1,0,IDLE,1000,0.79,20,0
00:35.9,chevrolet,agile,2011,1.4,n,car1,79,29.4,1012,46,48,0,-100,24,58.8,0,20,2,8,2017,0,0,1,0,IDLE,1012,0.79,20,0
00:43.9,chevrolet,agile,2011,1.4,n,car1,79,29,1005,46,49,0,-100,24,58.8,0,20,2,8,2017,0,0,1,0,IDLE,1005,0.8,20,0
00:51.9,chevrolet,agile,2011,1.4,n,car1,79,30.2,1002,45,49,0,-100,24,57.6,0,20,2,8,2017,0,0,1,0,IDLE,1002,0.77,20,0
00:59.9,chevrolet,agile,2011,1.4,n,car1,79,29.8,999,46,50,0,-100,24,57.6,0,20,2,8,2017,0,0,1,0,IDLE,999,0.78,20,0
01:07.9,chevrolet,agile,2011,1.4,n,car1,79,29.8,1000,45,50,0,-100,24,57.6,1,20,2,8,2017,0,0,1,0,IDLE,1000,0.78,20,0
01:15.9,chevrolet,agile,2011,1.4,n,car1,79,31.4,1002,45,51,0,-100,25,57.3,1,20,2,8,2017,0,0,1,0,IDLE,1002,0.77,20,0
01:23.9,chevrolet,agile,2011,1.4,n,car1,79,30.6,1002,45,51,0,-100,24,58.8,1,20,2,8,2017,0,0,1,0,IDLE,1002,0.76,20,0
01:32.0,chevrolet,agile,2011,1.4,n,car1,79,31,989,45,51,0,-100,24,56.9,1,20,2,8,2017,0,0,1,0,IDLE,989,0.75,20,0
01:40.0,chevrolet,agile,2011,1.4,n,car1,79,30.6,1012,47,52,0,-100,24,56.5,1,20,2,8,2017,0,0,1,0,IDLE,1012,0.76,20,0
01:48.0,chevrolet,agile,2011,1.4,n,car1,79,30.6,1004,47,52,0,-100,24,56.1,1,20,2,8,2017,0,0,1,0,IDLE,1004,0.76,20,0
01:56.0,chevrolet,agile,2011,1.4,n,car1,79,30.2,1004,45,52,0,-100,24,59.6,1,20,2,8,2017,0,0,1,0,IDLE,1004,0.77,20,0
02:04.0,chevrolet,agile,2011,1.4,n,car1,79,29.8,1010,46,53,0,-100,24,55.7,2,20,2,8,2017,0,0,1,0,IDLE,1010,0.78,20,0
02:12.0,chevrolet,agile,2011,1.4,n,car1,79,30.2,1003,78,53,9,-100,24,56.9,2,20,2,8,2017,0,0,0,1,ECO,100.3,0.77,20,0
02:20.1,chevrolet,agile,2011,1.4,n,car1,79,25.5,1139,47,53,4,-100,25,71.4,2,20,2,8,2017,0,0,0,0,IDLE,227.8,0.94,20,0
02:28.1,chevrolet,agile,2011,1.4,n,car1,79,27.1,1124,46,53,0,-100,24,57.3,2,20,2,8,2017,0,0,1,0,IDLE,1124,0.85,20,0
02:36.1,chevrolet,agile,2011,1.4,n,car1,79,29.8,1001,47,53,0,-100,24,56.5,2,20,2,8,2017,0,0,1,0,IDLE,1001,0.78,20,0
02:44.1,chevrolet,agile,2011,1.4,n,car1,79,30.6,999,47,53,0,-100,24,58,2,20,2,8,2017,0,0,1,0,IDLE,999,0.76,20,0
02:52.1,chevrolet,agile,2011,1.4,n,car1,78,30.6,1005,47,53,0,-100,24,57.3,2,20,2,8,2017,0,0,1,0,IDLE,1005,0.76,20,0
03:00.1,chevrolet,agile,2011,1.4,n,car1,78,29.8,1003,46,54,0,-100,24,57.3,3,20,2,8,2017,0,0,1,0,IDLE,1003,0.78,20,0
03:08.1,chevrolet,agile,2011,1.4,n,car1,78,30.2,1007,47,54,0,-100,24,56.9,3,20,2,8,2017,0,0,1,0,IDLE,1007,0.77,20,0
03:16.2,chevrolet,agile,2011,1.4,n,car1,78,30.2,1006,47,54,0,-100,24,58.4,3,20,2,8,2017,0,0,1,0,IDLE,1006,0.77,20,0
03:24.2,chevrolet,agile,2011,1.4,n,car1,78,30.2,1015,48,55,0,-100,24,57.6,3,20,2,8,2017,0,0,1,0,IDLE,1015,0.77,20,0
03:32.2,chevrolet,agile,2011,1.4,n,car1,78,30.2,1015,45,55,0,-100,24,58.8,3,20,2,8,2017,0,0,1,0,IDLE,1015,0.77,20,0
03:40.2,chevrolet,agile,2011,1.4,n,car1,78,30.2,1010,47,55,0,-100,24,57.6,3,20,2,8,2017,0,0,1,0,IDLE,1010,0.77,20,0
03:48.2,chevrolet,agile,2011,1.4,n,car1,78,30.2,998,46,55,0,-100,24,55.3,3,20,2,8,2017,0,0,1,0,IDLE,998,0.77,20,0
03:56.2,chevrolet,agile,2011,1.4,n,car1,78,30.2,1009,47,56,0,-100,24,56.5,3,20,2,8,2017,0,0,1,0,IDLE,1009,0.77,20,0
04:04.2,chevrolet,agile,2011,1.4,n,car1,78,30.2,995,46,56,0,-100,24,57.6,4,20,2,8,2017,0,0,1,0,IDLE,995,0.77,20,0
04:12.3,chevrolet,agile,2011,1.4,n,car1,78,30.2,1007,45,56,0,-100,24,56.9,4,20,2,8,2017,0,0,1,0,IDLE,1007,0.77,20,0
04:20.3,chevrolet,agile,2011,1.4,n,car1,78,30.2,1012,46,56,0,-100,24,56.1,4,20,2,8,2017,0,0,1,0,IDLE,1012,0.77,20,0
04:28.3,chevrolet,agile,2011,1.4,n,car1,79,30.2,1005,47,56,0,-100,24,56.9,4,20,2,8,2017,0,0,1,0,IDLE,1005,0.77,20,0
04:36.3,chevrolet,agile,2011,1.4,n,car1,79,29.4,995,46,57,0,-100,24,56.9,4,20,2,8,2017,0,0,1,0,IDLE,995,0.79,20,0
04:44.3,chevrolet,agile,2011,1.4,n,car1,79,30.2,1007,46,57,0,-100,24,56.1,4,20,2,8,2017,0,0,1,0,IDLE,1007,0.77,20,0
