VEHICLE_ID,total_readings,avg_speed,avg_rpm,aggressive_pct,fault_total,safety_score,safety_label
car1,13617,5.48,1491.86,0.9,0,98.18,SAFE
car10,7,0.0,964.71,14.29,0,92.86,SAFE
car11,7485,55.33,1823.4,31.42,0,70.46,MODERATE
car12,1866,28.96,1362.44,10.88,0,87.32,SAFE
car13,2060,28.33,1617.35,21.36,0,82.24,SAFE
car14,180,34.78,1381.61,7.22,0,87.7,SAFE
car2,138,12.48,1185.12,7.97,0,92.9,SAFE
car3,903,15.93,1145.9,3.32,0,94.36,SAFE
car4,2920,34.74,1373.28,6.61,0,88.01,SAFE
car5,55,0.0,850.62,5.45,0,97.28,SAFE
car6,6184,25.22,1392.41,3.78,6071,71.81,MODERATE
car7,507,23.21,1549.19,14.79,58,75.2,MODERATE
car8,5574,17.77,1513.9,3.88,0,93.62,SAFE
car9,6018,26.26,1402.81,8.64,0,89.12,SAFE
